vid,rank,views,likes,dislikes,time
C65,0,62639,6719,46,2019-01-19 23:40:07.681412
C64,0,297342,11072,34,2019-01-19 23:40:08.284467
F14,0,580995,24682,534,2019-01-19 23:40:08.882044
C63,0,210153,7618,111,2019-01-19 23:40:09.442443
C62,0,185557,7647,59,2019-01-19 23:40:10.001081
C61,0,244941,9831,142,2019-01-19 23:40:10.633284
C60,0,229712,8967,128,2019-01-19 23:40:11.282844
F13,0,476132,18617,349,2019-01-19 23:40:11.834462
C59,0,217960,6951,401,2019-01-19 23:40:12.579729
C58,0,172540,5911,136,2019-01-19 23:40:13.287832
C57,0,167217,5299,33,2019-01-19 23:40:13.860810
C56,0,182500,6695,28,2019-01-19 23:40:14.374366
C55,0,162970,5426,31,2019-01-19 23:40:14.966229
C54,0,167548,6063,84,2019-01-19 23:40:15.665073
C53,0,200315,7564,52,2019-01-19 23:40:16.327128
F12,0,552987,20945,139,2019-01-19 23:40:16.983226
C52,0,192615,6368,210,2019-01-19 23:40:17.558235
C51,0,175062,6360,91,2019-01-19 23:40:18.107145
C50,0,161214,5514,78,2019-01-19 23:40:18.676712
C49,0,154044,4199,19,2019-01-19 23:40:19.291642
C48,0,141748,3845,18,2019-01-19 23:40:19.886544
F11,0,672869,16431,232,2019-01-19 23:40:20.686282
C47,0,88104,3424,39,2019-01-19 23:40:21.221571
C46,0,107698,3696,30,2019-01-19 23:40:21.912303
C45,0,72148,2675,13,2019-01-19 23:40:22.494656
C44,0,120688,3603,103,2019-01-19 23:40:23.055325
C43,0,82085,2848,21,2019-01-19 23:40:23.564290
C42,0,86243,2611,47,2019-01-19 23:40:24.043730
C41,0,149438,4087,43,2019-01-19 23:40:24.688712
F10,0,638819,15280,126,2019-01-19 23:40:25.294495
C40,0,49182,1666,12,2019-01-19 23:40:25.812984
C39,0,57006,2448,16,2019-01-19 23:40:26.373068
C38,0,62772,2494,17,2019-01-19 23:40:26.893988
C37,0,70029,2325,46,2019-01-19 23:40:27.528873
C36,0,88367,3192,37,2019-01-19 23:40:28.290436
F9,0,531678,10035,82,2019-01-19 23:40:29.079522
C35,0,65020,1970,37,2019-01-19 23:40:29.606988
C34,0,57457,2058,17,2019-01-19 23:40:30.141100
C33,0,42597,1796,22,2019-01-19 23:40:30.810338
C32,0,45483,1752,12,2019-01-19 23:40:31.367979
F8,0,487633,11077,79,2019-01-19 23:40:31.945348
C31,0,28820,1037,9,2019-01-19 23:40:32.477382
C30,0,41250,1889,10,2019-01-19 23:40:32.981292
C29,0,56024,2149,47,2019-01-19 23:40:33.554407
C28,0,112027,3442,78,2019-01-19 23:40:34.197853
F7,0,542682,9887,111,2019-01-19 23:40:34.896636
C27,0,41751,1327,18,2019-01-19 23:40:35.516627
F26,0,40101,1349,12,2019-01-19 23:40:36.122078
C25,0,42474,1093,13,2019-01-19 23:40:36.746982
C24,0,75964,2599,35,2019-01-19 23:40:37.299969
C23,0,40119,1160,10,2019-01-19 23:40:37.877585
C22,0,39763,1098,7,2019-01-19 23:40:38.495168
C21,0,47776,1097,7,2019-01-19 23:40:39.188396
F6,0,514302,7970,103,2019-01-19 23:40:39.820282
C20,0,30485,838,7,2019-01-19 23:40:40.377195
C19,0,31067,843,11,2019-01-19 23:40:40.980740
C18,0,39044,908,54,2019-01-19 23:40:41.555797
C17,0,28567,752,3,2019-01-19 23:40:42.184088
F5,0,517876,7992,92,2019-01-19 23:40:42.720450
C16,0,31102,927,5,2019-01-19 23:40:43.496460
C15,0,37087,970,11,2019-01-19 23:40:44.122956
C14,0,38144,868,5,2019-01-19 23:40:44.736909
Z1,0,51590,1033,13,2019-01-19 23:40:45.338601
F4,0,543905,7442,130,2019-01-19 23:40:45.849146
C12,0,50108,1020,5,2019-01-19 23:40:46.470330
C11,0,46668,1083,15,2019-01-19 23:40:46.998146
F3,0,538035,7731,138,2019-01-19 23:40:47.519865
C10,0,46960,930,6,2019-01-19 23:40:48.074659
C09,0,35051,922,6,2019-01-19 23:40:48.666021
C08,0,33358,736,9,2019-01-19 23:40:49.221420
F2,0,613124,8475,187,2019-01-19 23:40:49.757949
C06,0,24892,738,6,2019-01-19 23:40:50.401152
C05,0,35426,781,7,2019-01-19 23:40:50.939966
C04,0,45864,864,6,2019-01-19 23:40:51.699558
F1,0,1357524,17277,1457,2019-01-19 23:40:52.340564
C03,0,56707,1112,15,2019-01-19 23:40:52.897754
C02,0,68060,1370,35,2019-01-19 23:40:53.555868
C01,0,125299,2083,37,2019-01-19 23:40:54.156061
Z0,0,103157,1316,49,2019-01-19 23:40:54.765171
C65,0,62639,6719,46,2019-01-19 23:43:41.311080
C64,0,297342,11072,34,2019-01-19 23:43:41.839965
F14,0,580995,24682,534,2019-01-19 23:43:42.519083
C63,0,210153,7618,111,2019-01-19 23:43:43.232675
C62,0,185557,7647,59,2019-01-19 23:43:43.769898
C61,0,244941,9831,142,2019-01-19 23:43:44.342009
C60,0,229712,8967,128,2019-01-19 23:43:44.975859
F13,0,476132,18617,349,2019-01-19 23:43:45.577053
C59,0,217960,6951,401,2019-01-19 23:43:46.184946
C58,0,172540,5911,136,2019-01-19 23:43:46.911145
C57,0,167217,5299,33,2019-01-19 23:43:47.454020
C56,0,182500,6695,28,2019-01-19 23:43:48.023755
C55,0,162970,5426,31,2019-01-19 23:43:48.630596
C54,0,167548,6063,84,2019-01-19 23:43:49.266557
C53,0,200315,7564,52,2019-01-19 23:43:49.794947
F12,0,552987,20945,139,2019-01-19 23:43:50.394255
C52,0,192615,6368,210,2019-01-19 23:43:51.111189
C51,0,175062,6360,91,2019-01-19 23:43:51.673123
C50,0,161214,5514,78,2019-01-19 23:43:52.445057
C49,0,154044,4199,19,2019-01-19 23:43:53.038420
C48,0,141748,3845,18,2019-01-19 23:43:53.663348
F11,0,672869,16431,232,2019-01-19 23:43:54.259134
C47,0,88104,3424,39,2019-01-19 23:43:54.792887
C46,0,107698,3696,30,2019-01-19 23:43:55.333652
C45,0,72148,2675,13,2019-01-19 23:43:55.883802
C44,0,120688,3603,103,2019-01-19 23:43:56.523848
C43,0,82085,2848,21,2019-01-19 23:43:57.152814
C42,0,86243,2611,47,2019-01-19 23:43:57.654254
C41,0,149438,4087,43,2019-01-19 23:43:58.277175
F10,0,638819,15280,126,2019-01-19 23:43:58.890584
C40,0,49182,1666,12,2019-01-19 23:43:59.484287
C39,0,57006,2448,16,2019-01-19 23:44:00.151338
C38,0,62772,2494,17,2019-01-19 23:44:00.724378
C37,0,70029,2325,46,2019-01-19 23:44:01.348910
C36,0,88367,3192,37,2019-01-19 23:44:01.967987
F9,0,531678,10035,82,2019-01-19 23:44:02.686174
C35,0,65020,1970,37,2019-01-19 23:44:03.408740
C34,0,57457,2058,17,2019-01-19 23:44:04.099089
C33,0,42597,1796,22,2019-01-19 23:44:04.618678
C32,0,45483,1752,12,2019-01-19 23:44:05.354772
F8,0,487633,11077,79,2019-01-19 23:44:05.979511
C31,0,28820,1037,9,2019-01-19 23:44:06.669917
C30,0,41250,1889,10,2019-01-19 23:44:07.209524
C29,0,56024,2149,47,2019-01-19 23:44:07.890383
C28,0,112027,3442,78,2019-01-19 23:44:08.393591
F7,0,542682,9887,111,2019-01-19 23:44:09.027484
C27,0,41751,1327,18,2019-01-19 23:44:09.854679
F26,0,40101,1349,12,2019-01-19 23:44:10.474162
C25,0,42474,1093,13,2019-01-19 23:44:11.196221
C24,0,75964,2599,35,2019-01-19 23:44:11.911537
C23,0,40119,1160,10,2019-01-19 23:44:12.608058
C22,0,39763,1098,7,2019-01-19 23:44:13.324967
C21,0,47776,1097,7,2019-01-19 23:44:13.934704
F6,0,514302,7970,103,2019-01-19 23:44:14.544378
C20,0,30485,838,7,2019-01-19 23:44:15.270548
C19,0,31067,843,11,2019-01-19 23:44:15.990893
C18,0,39044,908,54,2019-01-19 23:44:16.722536
C17,0,28567,752,3,2019-01-19 23:44:17.293857
F5,0,517876,7992,92,2019-01-19 23:44:17.920762
C16,0,31102,927,5,2019-01-19 23:44:18.505850
C15,0,37087,970,11,2019-01-19 23:44:19.049186
C14,0,38144,868,5,2019-01-19 23:44:19.621750
Z1,0,51590,1033,13,2019-01-19 23:44:20.289146
F4,0,543905,7442,130,2019-01-19 23:44:20.910672
C12,0,50108,1020,5,2019-01-19 23:44:21.619818
C11,0,46668,1083,15,2019-01-19 23:44:22.078319
F3,0,538035,7731,138,2019-01-19 23:44:22.659670
C10,0,46960,930,6,2019-01-19 23:44:23.368151
C09,0,35051,922,6,2019-01-19 23:44:23.986807
C08,0,33358,736,9,2019-01-19 23:44:24.476302
F2,0,613124,8475,187,2019-01-19 23:44:25.091124
C06,0,24892,738,6,2019-01-19 23:44:25.638713
C05,0,35426,781,7,2019-01-19 23:44:26.133697
C04,0,45864,864,6,2019-01-19 23:44:26.705489
F1,0,1357524,17277,1457,2019-01-19 23:44:27.367863
C03,0,56707,1112,15,2019-01-19 23:44:27.968138
C02,0,68060,1370,35,2019-01-19 23:44:28.597430
C01,0,125299,2083,37,2019-01-19 23:44:29.313584
Z0,0,103157,1316,49,2019-01-19 23:44:29.876374
C65,0,62639,6719,46,2019-01-19 23:43:41.311080
C64,0,297342,11072,34,2019-01-19 23:43:41.839965
F14,0,580995,24682,534,2019-01-19 23:43:42.519083
C63,0,210153,7618,111,2019-01-19 23:43:43.232675
C62,0,185557,7647,59,2019-01-19 23:43:43.769898
C61,0,244941,9831,142,2019-01-19 23:43:44.342009
